ru,fog,packet_id,created_at_us,fronthaul_latency_us,end_to_end_latency_us
RU:3,Fog:3,51,734.3999999999993,132.20000000000005,204.4000000000001
RU:0,Fog:0,52,748.7999999999993,132.20000000000005,204.4000000000001
RU:1,Fog:1,52,748.7999999999993,132.20000000000005,204.4000000000001
RU:2,Fog:2,52,748.7999999999993,132.20000000000005,204.4000000000001
RU:3,Fog:3,52,748.7999999999993,132.20000000000005,204.4000000000001
RU:0,Fog:0,53,763.1999999999992,132.20000000000005,204.4000000000001
RU:1,Fog:1,53,763.1999999999992,132.20000000000005,204.4000000000001
RU:2,Fog:2,53,763.1999999999992,132.20000000000005,204.4000000000001
RU:3,Fog:3,53,763.1999999999992,132.20000000000005,204.4000000000001
RU:0,Fog:0,54,777.5999999999992,132.20000000000005,204.4000000000001
RU:1,Fog:1,54,777.5999999999992,132.20000000000005,204.4000000000001
RU:2,Fog:2,54,777.5999999999992,132.20000000000005,204.4000000000001
RU:3,Fog:3,54,777.5999999999992,132.20000000000005,204.4000000000001
RU:0,Fog:0,55,791.9999999999992,132.20000000000005,204.4000000000001
RU:1,Fog:1,55,791.9999999999992,132.20000000000005,204.4000000000001
RU:2,Fog:2,55,791.9999999999992,132.20000000000005,204.4000000000001
RU:3,Fog:3,55,791.9999999999992,132.20000000000005,204.4000000000001
RU:0,Fog:0,56,806.3999999999992,132.20000000000005,204.4000000000001
RU:1,Fog:1,56,806.3999999999992,132.20000000000005,204.4000000000001
RU:2,Fog:2,56,806.3999999999992,132.20000000000005,204.4000000000001
RU:3,Fog:3,56,806.3999999999992,132.20000000000005,204.4000000000001
RU:0,Fog:0,57,820.7999999999992,132.20000000000005,204.4000000000002
RU:1,Fog:1,57,820.7999999999992,132.20000000000005,204.4000000000002
RU:2,Fog:2,57,820.7999999999992,132.20000000000005,204.4000000000002
RU:3,Fog:3,57,820.7999999999992,132.20000000000005,204.4000000000002
RU:0,Fog:0,58,835.1999999999991,132.20000000000005,204.4000000000001
RU:1,Fog:1,58,835.1999999999991,132.20000000000005,204.4000000000001
RU:2,Fog:2,58,835.1999999999991,132.20000000000005,204.4000000000001
RU:3,Fog:3,58,835.1999999999991,132.20000000000005,204.4000000000001
RU:0,Fog:0,59,849.5999999999991,132.20000000000005,204.39999999999998
RU:1,Fog:1,59,849.5999999999991,132.20000000000005,204.39999999999998
RU:2,Fog:2,59,849.5999999999991,132.20000000000005,204.39999999999998
RU:3,Fog:3,59,849.5999999999991,132.20000000000005,204.39999999999998
RU:0,Fog:0,60,863.9999999999991,132.20000000000005,204.4000000000001
RU:1,Fog:1,60,863.9999999999991,132.20000000000005,204.4000000000001
RU:2,Fog:2,60,863.9999999999991,132.20000000000005,204.4000000000001
RU:3,Fog:3,60,863.9999999999991,132.20000000000005,204.4000000000001
RU:0,Fog:0,61,878.3999999999991,132.20000000000005,204.4000000000002
RU:1,Fog:1,61,878.3999999999991,132.20000000000005,204.4000000000002
RU:2,Fog:2,61,878.3999999999991,132.20000000000005,204.4000000000002
